commit	dev_worst	dev_mean	start_dev	slope_mean	slope_std	status	description
73f8c05	1.618419	1.214187	1.374555	-0.862282	0.133202	keep	exp 001 adam baseline (constant Adam 1e-3, raw l2 readout): the canonical RND control
b58d201	2.470518	1.918203	1.374555	-0.969486	0.775770	keep	exp 002 sgd1t baseline (eta0 1e-2, t0 1e2): prior work's best; per-env agg slopes -0.80 vs -0.38 expose the heterogeneity
cd2d303	2.633842	1.407167	0.000000	-0.867277	0.564252	keep	exp 003 sgd1t + initial-copy readout norm: start_dev exactly 0 (requirement 1 solved); slopes unchanged, worst position now a near-flat curve
d3ae19c	2.541168	2.025344	0.000000	-0.452742	0.441000	keep	exp 004 const SGD + Polyak-averaged sqrt readout: slope_mean -0.45 but center_square nearly flat in-window (agg -0.10); heterogeneous (std 0.44)
9f7a899	1.686272	0.775609	0.000000	-1.800971	0.507559	discard	exp 005 functional shrink w/ sqrt schedule: inner Adam OVERSHOOTS the near target (fixed-size steps), acts like fast distillation; slope -1.8. Retry with inner SGD + tolerance
69edcb3	2.392831	1.801820	0.000000	-0.765255	0.688768	discard	exp 006 SGD-1/t + inverse-squared-error reweighting: spread not reduced (std 0.69)
3cc2bd3	1.227409	0.761177	0.000000	-0.567772	0.105908	keep	exp 007 AdaGrad + initial-copy readout: NEW LEADER. agg slopes -0.510/-0.499 on both envs, tightest spread (std 0.106); worst position still -1.39
0ddf03a	1.584701	1.188370	0.000000	-1.043489	0.598286	discard	exp 008 sphere-projected inputs + AdaGrad: kills the radial rate gradient on cell_midpoints but collapses center_square points to near-identical inputs (agg -1.35 there)
99c30ba	1.608535	0.323168	0.000000	-0.735569	0.201413	keep	exp 009 AdaGrad lr 3e-3: best dev_mean so far (0.32); smaller early drop; worst-position outlier remains (-1.42)
f0cdb3f	0.038110	0.038107	0.000000	-0.500000	0.000000	keep	exp 010 linear head + exact min-change interpolation + residual-encoded shrink r->r/sqrt(1+r^2): SOLVES the uniform benchmark; slope -0.500000 at every position, residue = the (n+1 vs n) off-by-one
f0cdb3f	1.467171	0.808605	0.000000	-0.500202	0.000361	keep	exp 011 = exp-010 method under NONUNIFORM visitation: does NOT track per-position counts — every position follows the same aggregate curve (slope vs global step -0.5002 +- 0.0004); feature interference drags unvisited positions along. Key negative finding
99c30ba	1.412056	0.676331	0.000000	-0.782095	0.217258	keep	exp 012 AdaGrad 3e-3 under NONUNIFORM: mildly count-sensitive (slope_mean -0.78 vs global step), better dev_mean than exp 011 but still far from per-count tracking
baf2db5	2.401847	1.169738	0.000000	-0.513955	0.282529	discard	exp 013 MLP + per-sample shrink targets + inner SGD: mean slope right (-0.51) but slow kernel modes stay under-shrunk (center_square agg -0.22) — gradient inner fitting cannot realize the functional shrink uniformly; the exact solve is load-bearing
f58cf8b	2.535454	1.246691	0.000000	-0.900869	0.266914	discard	exp 014 coin-flip RLS on zero-bias ReLU features, uniform: features are rank-deficient (106/108, condition 1e10) so the head cannot reach per-position coin means; readout saturates
f58cf8b	1.905387	0.779812	0.000000	-1.201066	0.994451	discard	exp 015 same under nonuniform: same representational failure
071676c	1.007965	0.333294	0.000000	-0.574384	0.125927	keep	exp 016 coin-flip RLS on RBF features (sigma 0.75), uniform: cell_midpoints agg -0.5013; weakness = center_square under-spanned by the fixed bandwidth (slope range -0.93..-0.26)
071676c	0.884954	0.349634	0.000000	-0.635258	0.109145	keep	exp 017 same under NONUNIFORM: best nonuniform result so far (prev 1.41); genuine per-position count tracking through coin statistics + local features
7103739	1.076466	0.587700	0.000000	-0.512158	0.073844	keep	exp 018 shrink on fixed RBF, NONUNIFORM: 1.08 — locality helps (was 1.47) but the recurrence integrates interference drift
37c4cc8	0.053264	0.029975	0.000000	-0.503424	0.004278	keep	exp 019 coin-flip + adaptive dictionary, uniform: 0.053, near the chi floor at d=512
37c4cc8	0.455074	0.142889	0.000000	-0.624278	0.106443	keep	exp 020 same, NONUNIFORM: 0.455 — best nonuniform so far; genuine per-position count tracking
37c4cc8	0.058624	0.029914	0.000000	-0.502783	0.003729	keep	exp 021 same, dense_grid 432 points: 0.059 — adaptive dictionary absorbs the capacity stress
071676c	1.396698	0.270802	0.000000	-0.554968	0.055266	keep	exp 022 coin-flip fixed-RBF on dense_grid: 1.40 — fixed bandwidth hits the resolution wall the adaptive dictionary removes
f0cdb3f	0.038344	0.038110	0.000000	-0.500023	0.000038	keep	exp 023 shrink + global ReLU on dense_grid (432 > 256 features): 0.038 — the residual-encoded map SELF-CORRECTS realization error (shrink factor reads the achieved state), no capacity wall
3f35bbf	0.038107	0.038107	0.000000	-0.500000	0.000000	keep	exp 024 shrink + adaptive dictionary, uniform: matches exp 010 exactly
3f35bbf	1.309865	0.521629	0.000000	-0.576123	0.198642	keep	exp 025 same, NONUNIFORM: 1.31 — the multiplicative recurrence integrates minibatch interference drift; least-squares statistics (exp 020) average it out instead
3f35bbf	0.038107	0.038107	0.000000	-0.500000	0.000000	keep	exp 026 same, dense_grid: exact again
0fc6922	0.201516	0.053708	0.000000	-0.499112	0.002149	keep	exp 027 closed-form elliptical posterior on adaptive dictionary, uniform: 0.202 — slope near-perfect; deviation = neighboring-cell feature overlap inflating effective counts
0fc6922	0.535075	0.258365	0.000000	-0.564484	0.079519	keep	exp 028 same, NONUNIFORM: 0.535 — comparable to coin-flip; overlap-count inflation is the gap
0fc6922	0.125945	0.047877	0.000000	-0.499229	0.000795	keep	exp 029 elliptical adaptive on dense_grid: 0.126 — capacity absorbed
bd9c95d	1.014733	0.691805	0.000000	-0.397501	0.047349	keep	exp 030 quartic loss constant step, uniform: slope -0.40 +- 0.05 with level spread — the honest schedule-free pure-gradient approximation
bd9c95d	0.836646	0.506045	0.000000	-0.349311	0.043346	keep	exp 031 same, NONUNIFORM: 0.84 — inherits the level spread
16b4cd4	0.114084	0.044206	0.000000	-0.499608	0.000940	keep	exp 032 elliptical with bandwidth cap 0.35, uniform: 0.114 (was 0.202) — overlap-count inflation halved
16b4cd4	0.478365	0.228399	0.000000	-0.575789	0.084104	keep	exp 033 same, NONUNIFORM: 0.478 — just behind coin-flip
8100b9e	0.000000	0.000000	0.000000	0.000000	0.000000	keep	exp 034 scrambled-Hadamard coin sequences on the adaptive dictionary: locally machine-exact min(1, n^-1/2) at every position; validation runs val_109-111 carry its measured numbers
585c4c2	0.313876	0.007819	0.000000	-0.500658	0.000945	keep	exp 035 Hadamard coins + per-block column permutation (val_114-115): uniform dev_mean 0.0078 — 5x below the shrink's off-by-one floor; dev_worst 0.31 from block-spike coordinate collisions (~5% of positions)
ac975a0	0.033492	0.003132	0.000000	-0.500462	0.000283	keep	exp 036 collision-free block spikes: uniform champion at 30 seeds (val_117: dev_worst 0.0335, dev_mean 0.0031); dense val_118: 0.054/0.0031
cfdb324	0.107583	0.059763	0.000000	-0.506059	0.000000	keep	abl 201 coin-flip d=128: chi floor doubles as sqrt(1/(2d)) predicts
cfdb324	1.061771	0.530538	0.000000	-0.700909	0.000000	keep	abl 202 coin-flip insertion radius 0.2 (uniform): a dictionary coarser than the finest point spacing cannot separate the center square
cfdb324	0.994126	0.435481	0.000000	-0.760637	0.000000	keep	abl 203 same, nonuniform
cfdb324	0.077322	0.042599	0.000000	-0.499676	0.000000	keep	abl 204 elliptical bandwidth cap 0.2: overlap-count inflation shrinks monotonically with the cap (0.077 / 0.114 / 0.202)
f0cdb3f	0.033324	0.033323	0.000000	-0.500000	0.000000	keep	hor 301 shrink at 32768 steps: slope -0.500000 over 4.5 decades; deviation shrinks (off-by-one concentrates early)
99c30ba	1.296298	0.321811	0.000000	-0.630938	0.000000	keep	hor 303 AdaGrad 3e-3 at 32768 steps: drifts to -0.63 — the optimizer family's calibration does not survive longer horizons
37c4cc8	0.049147	0.030194	0.000000	-0.501833	0.002833	keep	hor 302 coin-flip adaptive at 32768 steps: 0.049 — the statistical construction holds over 4.5 decades
ac975a0	0.054287	0.003108	0.000000	-0.500131	0.000248	keep	val 118 collision-free Hadamard on dense_grid, 30 seeds: capacity stress absorbed at the near-exact level (dev_mean 0.0031)
6ef69a5	2.201793	1.848814	0.000000	-0.648345	0.346934	discard	exp 037 gradient CFN, Adam 1e-4 (paper rate), maze+antmaze: one gradient step per visit cannot track the running coin mean
6ef69a5	1.424450	1.123026	0.000000	-0.789872	0.229593	discard	exp 038 gradient CFN Adam 1e-3: same failure
6ef69a5	1.148296	1.159253	0.000000	-0.695975	0.264454	discard	exp 039 gradient CFN Adam 1e-2: same failure
6ef69a5	1.468701	1.037001	0.000000	-0.395234	0.087627	discard	exp 040 gradient CFN AdaGrad 1e-2: too slow (-0.40)
6ef69a5	1.766058	1.653922	0.000000	-1.402064	0.762817	discard	exp 041 gradient CFN AdaGrad 1e-1: unstable
6ef69a5	2.057141	1.540832	0.000000	-0.598050	0.145652	discard	exp 042 gradient CFN SGD-1/t eta0 1e-2: lags badly
6ef69a5	1.855729	1.454611	0.000000	-1.065112	0.427337	discard	exp 043 gradient CFN SGD-1/t eta0 1e-1: too fast, spread
0de11cf	0.038107	0.038107	0.000000	-0.500000	0.000000	keep	exp 048 deep random features + exact last-layer shrink head, maze+antmaze pooled: machine-exact on real 29-d AntMaze observations — the neural exact construction transfers
25e19d2	0.054199	0.029872	0.000000	-0.503266	0.004252	keep	exp 049 deep features + exact coin-flip head, maze+antmaze pooled: matches the phase-1 statistical floor on neural features
6ef69a5	1.654398	1.343475	0.000000	-0.699277	0.368334	discard	exp 044 gradient conv CFN Adam 1e-4, atari: the optimizer-lag failure is domain-independent
6ef69a5	1.155169	0.994201	0.000000	-0.807191	0.314068	discard	exp 045 gradient conv CFN Adam 1e-3, atari: same
6ef69a5	1.779096	1.384236	0.000000	-0.468718	0.209936	discard	exp 046 gradient conv CFN AdaGrad 1e-2, atari: same
6ef69a5	2.677555	2.465700	0.000000	-2.800326	0.136111	discard	exp 047 gradient conv CFN SGD-1/t 1e-1, atari: unstable-fast
895f9b2	0.862546	0.674687	0.000000	-0.909268	0.197999	keep	exp 052 replay-buffer CFN (4 Adam steps/visit), maze+antmaze: closes much of the gradient lag (0.86 vs 1.15+) but stays an order above the exact heads; the ring bounds late counts
0de11cf	1.813704	1.534209	0.000000	-2.350613	0.283373	keep	exp 050 deep shrink head, atari 512 frames vs 256 features: FLOORS at ~0.29 — the unrepresentable target component is a hard floor when distinct states exceed feature width
25e19d2	1.870539	1.534285	0.000000	-0.960743	0.078492	keep	exp 051 deep coin-flip head, atari: same representational floor (~0.25)
0de11cf	1.934807	0.292233	0.000000	-0.943983	1.282201	keep	exp 053 deep shrink, HELDOUT vectors: trained states fine (dev_mean 0.29) but the trunk generalizes the decay onto never-visited states — strict-count leakage measured
25e19d2	1.678382	0.263875	0.000000	-0.609371	0.548920	keep	exp 054 deep coin-flip, HELDOUT vectors: same leakage, milder
25e19d2	0.617741	0.138426	0.000000	-0.691757	0.198100	keep	exp 055 deep coin-flip, NONUNIFORM vectors: tracks per-state counts on real AntMaze observations (0.62/0.14)
0de11cf	1.215835	0.710758	0.000000	-0.351516	0.145061	keep	exp 056 deep shrink, NONUNIFORM vectors: fails as its phase-1 sibling did — the recurrence integrates interference
0de11cf	1.651587	1.201758	0.000000	-2.293455	1.048295	keep	exp 057 deep shrink, HELDOUT atari: floor + leakage compound
25e19d2	1.771001	1.201959	0.000000	-0.899647	0.168052	keep	exp 058 deep coin-flip, HELDOUT atari: same
9464d69	0.038107	0.038107	0.000000	-0.500000	0.000000	keep	exp 059 deep shrink head, 1024 image features, atari: MACHINE-EXACT on 512 real MontezumaRevenge frames — the capacity law confirmed in the converse (width past the state count restores exactness)
9464d69	0.577985	0.063727	0.000000	-0.504180	0.005692	keep	exp 060 deep coin-flip head, 1024 image features, atari: floor removed (dev_mean 0.064 near the d=256 chi floor); worst frames = near-duplicate frames sharing counts through nearly identical features
0de11cf	0.038107	0.038107	0.000000	-0.500000	0.000000	keep	val 201 deep shrink, vectors uniform, 30 seeds: exact, validated
25e19d2	0.054577	0.029806	0.000000	-0.501656	0.002533	keep	val 202 deep coin-flip, vectors uniform, 30 seeds: statistical floor, validated
25e19d2	1.674775	0.702331	0.000000	-1.124719	0.495275	discard	val 203 deep coin-flip nonuniform 30 seeds WITH THE ABSOLUTE 1e-8 RIDGE: node-dependent early-solve instability on antmaze (bonus ~30 at early checkpoints; identical seed clean on another node) — kept as the record that motivated exp 061; superseded by val_206
